Date,Electricity Usage (kWh),Gas Usage (m³)
2024-01-01,14.0,7.0
2024-01-02,15.5,8.5
2024-01-03,17.0,9.0
2024-01-04,17.0,10.5
2024-01-05,18.5,7.0
2024-01-06,15.0,8.5
2024-01-07,15.0,9.0
2024-01-08,16.5,10.5
2024-01-09,18.0,7.0
2024-01-10,18.0,8.5
2024-01-11,14.5,9.0
2024-01-12,16.0,10.5
2024-01-13,16.0,7.0
2024-01-14,17.5,8.5
2024-01-15,19.0,9.0
2024-01-16,14.0,10.5
2024-01-17,15.5,7.0
2024-01-18,17.0,8.5
2024-01-19,17.0,9.0
2024-01-20,18.5,10.5
2024-01-21,15.0,7.0
2024-01-22,15.0,8.5
2024-01-23,16.5,9.0
2024-01-24,18.0,10.5
2024-01-25,18.0,7.0
2024-01-26,14.5,8.5
2024-01-27,16.0,9.0
2024-01-28,16.0,10.5
2024-01-29,17.5,7.0
2024-01-30,19.0,8.5
2024-01-31,14.0,9.0
2024-02-01,15.5,10.5
2024-02-02,17.0,7.0
2024-02-03,17.0,8.5
2024-02-04,18.5,9.0
2024-02-05,15.0,10.5
2024-02-06,15.0,7.0
2024-02-07,16.5,8.5
2024-02-08,18.0,9.0
2024-02-09,18.0,10.5
2024-02-10,14.5,7.0
2024-02-11,16.0,8.5
2024-02-12,16.0,9.0
2024-02-13,17.5,10.5
2024-02-14,19.0,7.0
2024-02-15,14.0,8.5
2024-02-16,15.5,9.0
2024-02-17,17.0,10.5
2024-02-18,17.0,7.0
2024-02-19,18.5,8.5
2024-02-20,15.0,9.0
2024-02-21,15.0,10.5
2024-02-22,16.5,7.0
2024-02-23,18.0,8.5
2024-02-24,18.0,9.0
2024-02-25,14.5,10.5
2024-02-26,16.0,7.0
2024-02-27,16.0,8.5
2024-02-28,17.5,9.0
2024-02-29,19.0,10.5
